time,tweet
2020-07-03 04:32:49,b'RT @jibbyford_: Man City gave Liverpool a guard of honor then dishonored them and made it look like they won the league four nothing \xf0\x9f\x98\x82\xf0\x9f\x92\x94 #MC\xe2\x80\xa6'
2020-07-03 04:32:44,b'RT @premierleague: Welcoming the \xf0\x9d\x90\x9c\xf0\x9d\x90\xa1\xf0\x9d\x90\x9a\xf0\x9d\x90\xa6\xf0\x9d\x90\xa9\xf0\x9d\x90\xa2\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\xf0\x9d\x90\xac \xf0\x9f\x8c\x9f\n\n#MCILIV https://t.co/mVq3qqi5Sq'
2020-07-03 04:32:40,b'RT @GWijnaldum: Not our best performance. We\xe2\x80\x99ll make sure we\xe2\x80\x98ll show up strong next time \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe #MCILIV https://t.co/EFnnPECbSI'
2020-07-03 04:32:39,b'Man City took this guard of honour anger a little too far\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa3\n#MCILIV'
2020-07-03 04:32:39,b'RT @GWijnaldum: Not our best performance. We\xe2\x80\x99ll make sure we\xe2\x80\x98ll show up strong next time \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe #MCILIV https://t.co/EFnnPECbSI'
2020-07-03 04:32:36,b'RT @Views09: Who would you prefer in your team?\n1.Retweet for Kevin De Bruyne\n2. Like for Paul Pogba \n#MCILIV https://t.co/iFQ3nV1TAh'
2020-07-03 04:32:36,b'RT @goal: The champions are HUMBLED.\n\n#MCILIV https://t.co/RfQi5OufQ9'
2020-07-03 04:32:35,b'RT @premierleague: Welcoming the \xf0\x9d\x90\x9c\xf0\x9d\x90\xa1\xf0\x9d\x90\x9a\xf0\x9d\x90\xa6\xf0\x9d\x90\xa9\xf0\x9d\x90\xa2\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\xf0\x9d\x90\xac \xf0\x9f\x8c\x9f\n\n#MCILIV https://t.co/mVq3qqi5Sq'
2020-07-03 04:32:34,b'RT @LFC: The Reds are out to a guard of honour at the Etihad \xf0\x9f\x91\x8f\xf0\x9f\x94\xb4\n\n#MCILIV https://t.co/oVuEuBUR0n'
2020-07-03 04:32:31,"b'RT @Kingbardes_: Wish ramos had missed that penalty, this would have been the scene \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #MCILIV https://t.co/qUAqYIgoAA'"
2020-07-03 04:32:29,"b'RT @SnapGoal: Man City 4-0 Liverpool, all goals\xf0\x9f\x94\xa5\n\nVia: @BRGoals \n\n#MCILIV \n https://t.co/9QSf3JfgsP'"
2020-07-03 04:32:27,b'RT @vincentobinna14: So city decide to disgrace Liverpool just few days after they were crowned  champions #MCILIV'
2020-07-03 04:32:25,b'RT @premierleague: Raheem Sterling scored his first #PL goal against Liverpool - in his ninth appearance against them \n\n#MCILIV https://t.c\xe2\x80\xa6'
2020-07-03 04:32:22,b'Currently trending on Ghana Twitter: \nramos\nSterling\nMan City\n#mciliv\n#fearwomen\nFoden\ngomez\nwest ham\nRudiger\nSpurs\xe2\x80\xa6 https://t.co/iDpUvjZTce'
2020-07-03 04:32:20,b'RT @Anambravirgin: When your enemies prepare a table before you.. So that they can break it\xf0\x9f\x98\xad\n#MCILIV https://t.co/gUubpoU3nK'
2020-07-03 04:32:20,"b'RT @Dara_Ernal: Nobody :\n\nCAC pastors: Hold your head and shout ""I won\'t be honored to be dishonored like Liverpool"".\n\n#MCILIV'"
2020-07-03 04:32:18,b'RT @Zlatan_Ibile: On our way to solve the matter chai this is getting unbearable 4:0 #MCILIV https://t.co/VP2YiJx1n0'
2020-07-03 04:32:17,b'RT @Anambravirgin: When your enemies prepare a table before you.. So that they can break it\xf0\x9f\x98\xad\n#MCILIV https://t.co/gUubpoU3nK'
2020-07-03 04:32:15,b'RT @SnapGoal: GOOOOOOOAL Sterling\xf0\x9f\x94\xa5\xf0\x9f\x98\x8d\n\n4-0\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x94\xa5\n\nThe match is live on @BRGoals \n\n#MCILIV\n\n https://t.co/JhU13ChyJo'
2020-07-03 04:32:12,b'RT @LFC: The Reds are out to a guard of honour at the Etihad \xf0\x9f\x91\x8f\xf0\x9f\x94\xb4\n\n#MCILIV https://t.co/oVuEuBUR0n'
2020-07-03 04:32:06,b'RT @SnapGoal: GOOOOOOOAL Sterling\xf0\x9f\x94\xa5\xf0\x9f\x98\x8d\n\nLiverpool defenders\xf0\x9f\x98\xb1\n\nThe match is live on @BRGoals \n\n#MCILIV\n\n https://t.co/vedr0w7i83'
2020-07-03 04:31:59,b'RT @Zlatan_Ibile: On our way to solve the matter chai this is getting unbearable 4:0 #MCILIV https://t.co/VP2YiJx1n0'
2020-07-03 04:31:59,b'RT @_stephhani: short story.\n#MCILIV https://t.co/wzr77msO4w'
2020-07-03 04:31:54,"b""RT @MirrorFootball: Guardiola says Liverpool must have drunk 'a lot of beers' following Man City 4-0 victory #MCILIV\nhttps://t.co/uio5mRbhCv"""
2020-07-03 04:31:48,b'RT @GWijnaldum: Not our best performance. We\xe2\x80\x99ll make sure we\xe2\x80\x98ll show up strong next time \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe #MCILIV https://t.co/EFnnPECbSI'
2020-07-03 04:31:46,b'RT @Views09: Who would you prefer in your team?\n1.Retweet for Kevin De Bruyne\n2. Like for Paul Pogba \n#MCILIV https://t.co/iFQ3nV1TAh'
2020-07-03 04:31:43,b'RT @jibbyford_: Man City gave Liverpool a guard of honor then dishonored them and made it look like they won the league four nothing \xf0\x9f\x98\x82\xf0\x9f\x92\x94 #MC\xe2\x80\xa6'
2020-07-03 04:31:41,b'RT @goal: Man City turning up today like...\n\n#MCILIV https://t.co/QVCKhjRlEz'
2020-07-03 04:31:41,b'RT @OfficialFPL: Goal - own goal (Oxlade-Chamberlain)\nAssist - STERLING\n\nMan City 4-0 Liverpool (66 mins)\n\n#FPL #MCILIV'
2020-07-03 04:31:40,b'RT @goal: The champions are HUMBLED.\n\n#MCILIV https://t.co/RfQi5OufQ9'
2020-07-03 04:31:40,b'RT @Zlatan_Ibile: On our way to solve the matter chai this is getting unbearable 4:0 #MCILIV https://t.co/VP2YiJx1n0'
2020-07-03 04:31:35,"b""RT @premierleague: GOAL Man City 5-0 Liverpool (90+5 mins)\n\nIt's 5\xef\xb8\x8f\xe2\x83\xa3 for Man City as Riyad Mahrez slams home at Alisson's near post\n\n#MCILIV"""
2020-07-03 04:31:32,b'RT @Anambravirgin: When your enemies prepare a table before you.. So that they can break it\xf0\x9f\x98\xad\n#MCILIV https://t.co/gUubpoU3nK'
2020-07-03 04:31:30,"b'RT @BanterFC5: \xe2\x80\x9cNo joke, we were still popping bottles at halftime\xe2\x80\x9d #MCILIV https://t.co/VwFTCO4fOo'"
2020-07-03 04:31:29,b'RT @premierleague: Welcoming the \xf0\x9d\x90\x9c\xf0\x9d\x90\xa1\xf0\x9d\x90\x9a\xf0\x9d\x90\xa6\xf0\x9d\x90\xa9\xf0\x9d\x90\xa2\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\xf0\x9d\x90\xac \xf0\x9f\x8c\x9f\n\n#MCILIV https://t.co/mVq3qqi5Sq'
2020-07-03 04:31:22,b'RT @premierleague: \xf0\x9f\x92\xab Kevin De Bruyne has been directly involved in 28 goals this season - more than any other player in the #PL\n\n#MCILIV ht\xe2\x80\xa6'
2020-07-03 04:31:22,b'RT @fresherr01: This is how you escort a ram to the slaughterhouse \n#MCILIV https://t.co/WTnGJoDPfO'
2020-07-03 04:31:20,b'RT @City_Chief: \xf0\x9f\x93\x8a| City Stats:\n\nManchester City have now won their last 3 League home games against Liverpool - Their Best run against the\xe2\x80\xa6'
2020-07-03 04:31:16,b'What Manchester city did to liverpool #MCILIV https://t.co/Yd2ihBu232'
2020-07-03 04:31:15,b'RT @LFC: The Reds are out to a guard of honour at the Etihad \xf0\x9f\x91\x8f\xf0\x9f\x94\xb4\n\n#MCILIV https://t.co/oVuEuBUR0n'
2020-07-03 04:31:04,"b""RT @RebornSharma: Pep: Yes. We'll organise the Guard of Honour for Liverpool at the Eithad. \n\nLe Pep: \n\n#MCILIV #PremierLeague #ManCityvsli\xe2\x80\xa6"""
2020-07-03 04:31:03,b'RT @ManUtdGGMU3: Graham souness going to talk about Firmino dying his hair when his form on the pitch is crap or is that just for pogba? #M\xe2\x80\xa6'
2020-07-03 04:31:03,"b""Had a feeling a week or so ago when City were winning 3-0/5-0 that they would beat us by a hefty margin. Wasn't wro\xe2\x80\xa6 https://t.co/JTts3JBPFf"""
2020-07-03 04:30:54,"b'RT @OfficialSGoater: #MCILIV Listen I\xe2\x80\x99ve got a lot to say but I\xe2\x80\x99ll keep it brief. Yes, we want 6! But someone better give @ManCity a guard\xe2\x80\xa6'"
2020-07-03 04:30:48,b'RT @TheSportSocial: Absolutely mental that Jordan Henderson\xe2\x80\x99s might win Player of the Year ahead of Kevin De Bruyne. If you need help ident\xe2\x80\xa6'
2020-07-03 04:30:47,b'RT @SelloTebogo2: Pep is not done with @LFC\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#MCILIV #MCFC https://t.co/GVN78Q9D1L'
2020-07-03 04:30:46,"b""RT @LFC: 95' - Goal. Man City.\n\n[5-0]\n\n#MCILIV"""
2020-07-03 04:30:38,b'RT @sirlotan: Guard of honor\n#MCILIV https://t.co/SmWGdbPcC9'
2020-07-03 04:30:37,b'RT @GWijnaldum: Not our best performance. We\xe2\x80\x99ll make sure we\xe2\x80\x98ll show up strong next time \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe #MCILIV https://t.co/EFnnPECbSI'
2020-07-03 04:30:34,b'RT @Chief_umar: Gomez going for the wrong ball.\xf0\x9f\x98\x82\n #MCILIV https://t.co/K1x0619r6d'
2020-07-03 04:30:22,b'RT @Views09: Who would you prefer in your team?\n1.Retweet for Kevin De Bruyne\n2. Like for Paul Pogba \n#MCILIV https://t.co/iFQ3nV1TAh'
2020-07-03 04:30:21,"b'RT @Mindwheels_: What Memory does this picture bring back? , drop your Comments @OauPsychology @thekonnectbrand @IfumsaOau @oaupolitics @na\xe2\x80\xa6'"
2020-07-03 04:30:21,"b'RT @SnapGoal: Man City 4-0 Liverpool, all goals\xf0\x9f\x94\xa5\n\nVia: @BRGoals \n\n#MCILIV \n https://t.co/9QSf3JfgsP'"
2020-07-03 04:30:19,b'\xe2\x80\x9cKeep your enemies closer\xe2\x80\x9d\xf0\x9f\x98\x82\n#MCILIV https://t.co/0ywZRHAZvM'
2020-07-03 04:30:17,b'RT @Zlatan_Ibile: On our way to solve the matter chai this is getting unbearable 4:0 #MCILIV https://t.co/VP2YiJx1n0'
2020-07-03 04:30:12,"b'All I can say is N&amp;N is pure fraud and a medium of massive corruption,Non performance,clan appointments and more co\xe2\x80\xa6 https://t.co/anyGg78Rr4'"
2020-07-03 04:30:10,b'RT @livescore: Manchester City are in cruise control tonight. 4-0.\n\n#MCILIV #MCFC #LFC https://t.co/qKsdt4PP27'
2020-07-03 04:30:10,b'RT @rantsnbants: NAAAAH WHO DID THIS?! \xf0\x9f\xa4\xa3 \xe2\x80\x9cgUaRd oF hOnOuR\xe2\x80\x9d #MCILIV https://t.co/wJqEleEU7y'
2020-07-03 04:30:09,b'RT @rantsnbants: Guard of honour then punched them man in the throat \xf0\x9f\xa4\xa3 this league title needs and asterisk forreal \xf0\x9f\x98\xad #MCILIV'
2020-07-03 04:30:07,b'RT @LFC: The Reds are out to a guard of honour at the Etihad \xf0\x9f\x91\x8f\xf0\x9f\x94\xb4\n\n#MCILIV https://t.co/oVuEuBUR0n'
2020-07-03 04:30:05,b'RT @premierleague: Welcoming the \xf0\x9d\x90\x9c\xf0\x9d\x90\xa1\xf0\x9d\x90\x9a\xf0\x9d\x90\xa6\xf0\x9d\x90\xa9\xf0\x9d\x90\xa2\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\xf0\x9d\x90\xac \xf0\x9f\x8c\x9f\n\n#MCILIV https://t.co/mVq3qqi5Sq'
2020-07-03 04:30:04,"b""RT @OptaJoe: 4-0 - Liverpool's 4-0 defeat to Manchester City is the joint-heaviest defeat by a team already crowned Premier League champion\xe2\x80\xa6"""
2020-07-03 04:30:03,b'So here are my thoughts on that #MCILIV game today: KdB is the best all-around player in the WORLD. Phil Foden is t\xe2\x80\xa6 https://t.co/B6b2Ida5Lx'
2020-07-03 04:30:03,b'RT @GWijnaldum: Not our best performance. We\xe2\x80\x99ll make sure we\xe2\x80\x98ll show up strong next time \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe #MCILIV https://t.co/EFnnPECbSI'
2020-07-03 04:29:58,b'RT @JustToonIt_: FT Man City 4-0 Liverpool last night feel like\n#MCILIV #JustToonIt https://t.co/dt1vOdR8Yp'
2020-07-03 04:29:54,"b'RT @cityreport_: \xf0\x9f\x86\x9a | #ClassicFixture [17/18]\n\n\xe2\x9e\xa1\xef\xb8\x8f @ManCity 5-0 Liverpool\n\n\xe2\x9a\xbd\xef\xb8\x8f @AgueroSergioKun (24)\n\xe2\x9a\xbd\xef\xb8\x8f @GabrielJesus9 (45+6, 53)\n\xe2\x9a\xbd\xef\xb8\x8f @LeroySan\xe2\x80\xa6'"
2020-07-03 04:29:50,b'RT @GWijnaldum: Not our best performance. We\xe2\x80\x99ll make sure we\xe2\x80\x98ll show up strong next time \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe #MCILIV https://t.co/EFnnPECbSI'
